volume,issn,id,type,pages,title,authors,number,url,year,doi
88,1430-2772,10.1007/s00426-024-02008-w,article,2303--2319,Strategy variability in computational estimation and its association with mathematical achievement,"Reba Koenen, Sashank Varma",8,https://doi.org/10.1007/s00426-024-02008-w,2024,10.1007/s00426-024-02008-w
24,1433-7479,10.1007/s00500-019-03980-x,article,1483--1496,Modeling reverse thinking for machine learning,"Huihui Li, Guihua Wen",2,https://doi.org/10.1007/s00500-019-03980-x,2020,10.1007/s00500-019-03980-x
25,1433-7479,10.1007/s00500-021-06396-8,article,14979--14992,An intelligent tutoring system for new student model using fuzzy soft set-based hybrid optimization algorithm,"Uddagiri Chandrasekhar, Neelu Khare",24,https://doi.org/10.1007/s00500-021-06396-8,2021,10.1007/s00500-021-06396-8
,1433-7479,10.1007/s00500-023-08353-z,article,,An intelligent computational approach of signal control in urban rail transit for vehicular communication,"Cong Huang, Ying Huang",,https://doi.org/10.1007/s00500-023-08353-z,2023,10.1007/s00500-023-08353-z
27,1433-7479,10.1007/s00500-023-09027-6,article,14601--14619,Design of acceptance sampling plans based on interval valued neutrosophic sets,"Gürkan Işık, İhsan Kaya",20,https://doi.org/10.1007/s00500-023-09027-6,2023,10.1007/s00500-023-09027-6
28,1433-7479,10.1007/s00500-024-09749-1,article,13701--13713,Comparative research on block design-based protocol and blowfish for secured key generation and data sharing on cloud,"Uma Hombal, Dayananda Rangapura Basavaraju, Ashwini S. Shinde",23,https://doi.org/10.1007/s00500-024-09749-1,2024,10.1007/s00500-024-09749-1
37,1433-3058,10.1007/s00521-023-08328-z,article,7575--7607,A systematic review of integrated information theory: a perspective from artificial intelligence and the cognitive sciences,"Luz Enith Guerrero, Luis Fernando Castillo, Jeferson Arango-López, Fernando Moreira",11,https://doi.org/10.1007/s00521-023-08328-z,2025,10.1007/s00521-023-08328-z
36,1433-3058,10.1007/s00521-024-10161-x,article,21545--21560,"A decision-making model for self-driving vehicles based on GPT-4V, federated reinforcement learning, and blockchain","Tanweer Alam, Ruchi Gupta, N. Nasurudeen Ahamed, Arif Ullah",34,https://doi.org/10.1007/s00521-024-10161-x,2024,10.1007/s00521-024-10161-x
33,2948-1627,10.1007/s00550-025-00560-6,article,3,Sustainability Nexus AID: soil health,"Nima Shokri, Milad Aminzadeh, Markus Flury, Yan Jin, Mir A. Matin, Panos Panagos, Bahar S. Razavi, David A. Robinson, Pete Smith, Katherine Todd-Brown, Gergely Toth, Azin Zarei, Kaveh Madani",1,https://doi.org/10.1007/s00550-025-00560-6,2025,10.1007/s00550-025-00560-6
28,0948-5023,10.1007/s00894-022-05176-x,article,209,An insight into reactivity and bioactivity properties of quorum sensing peptides against PDE10A: a computational peptidology approach,"Bhargav Shreevatsa, Chandan Dharmashekara, Anisha S. Jain, Raghavendra Amachawadi, Raghu Ram Achar, Asad Syed, Chandan Shivamallu, Shiva Prasad Kollur, Juan Frau, Norma Flores-Holguín, Daniel Glossman-Mitnik",8,https://doi.org/10.1007/s00894-022-05176-x,2022,10.1007/s00894-022-05176-x
45,1590-3478,10.1007/s10072-024-07655-w,article,5481--5488,Novel KCNQ2 missense variant expands the genotype spectrum of DEE7,"Chao Wang, JinXia Zhai, YongJun Chen",11,https://doi.org/10.1007/s10072-024-07655-w,2024,10.1007/s10072-024-07655-w
24,1435-5949,10.1007/s10109-022-00378-6,article,501--524,Embedding scale: new thinking of scale in machine learning and geographic representation,"May Yuan, Arlo McKee",3,https://doi.org/10.1007/s10109-022-00378-6,2022,10.1007/s10109-022-00378-6
67,0219-3116,10.1007/s10115-024-02310-4,article,2967--3022,"Large language models: a survey of their development, capabilities, and applications","Yadagiri Annepaka, Partha Pakray",3,https://doi.org/10.1007/s10115-024-02310-4,2025,10.1007/s10115-024-02310-4
,1615-5297,10.1007/s10209-024-01177-0,article,,Situating makerspace curricula for students with learning differences within Vygotsky’s cultural historical psychology,"Shantanu Tilak, Rachelle Viar, Beau Turner, Kadie Kennedy",,https://doi.org/10.1007/s10209-024-01177-0,2024,10.1007/s10209-024-01177-0
38,1878-5174,10.1007/s10212-022-00651-8,article,1251--1269,"Relations between preservice teachers’ self-efficacy, computational thinking skills and metacognitive self-regulation",Şenol Şen,3,https://doi.org/10.1007/s10212-022-00651-8,2023,10.1007/s10212-022-00651-8
,1617-9854,10.1007/s10257-024-00688-w,article,,Prescriptive analytics systems revised: a systematic literature review from an information systems perspective,"Christopher Wissuchek, Patrick Zschech",,https://doi.org/10.1007/s10257-024-00688-w,2024,10.1007/s10257-024-00688-w
22,1612-4790,10.1007/s10339-021-01046-1,article,89--96,"Spatial thinking, cognitive mapping, and spatial awareness",Toru Ishikawa,1,https://doi.org/10.1007/s10339-021-01046-1,2021,10.1007/s10339-021-01046-1
25,1612-4790,10.1007/s10339-024-01181-5,article,333--347,Hierarchies of description enable understanding of cognitive phenomena in terms of neuron activity,L. Andrew Coward,2,https://doi.org/10.1007/s10339-024-01181-5,2024,10.1007/s10339-024-01181-5
26,1612-4790,10.1007/s10339-024-01227-8,article,59--73,The impact of cognitive flexibility on prospective EFL teachers' critical thinking disposition: the mediating role of self-efficacy,"Şenol Orakcı, Tahmineh Khalili",1,https://doi.org/10.1007/s10339-024-01227-8,2025,10.1007/s10339-024-01227-8
26,1612-4790,10.1007/s10339-024-01233-w,article,201--218,Understanding responses of people with ASD in diverse reasoning tasks: A formal study,"Torben Braüner, Aishwarya Ghosh, Sujata Ghosh",1,https://doi.org/10.1007/s10339-024-01233-w,2025,10.1007/s10339-024-01233-w
76,2948-2658,10.1007/s10343-024-01054-z,article,1569--1583,Advanced CNN Approach for Segmentation of Diseased Areas in Plant Images,"Abdullah Şener, Burhan Ergen",6,https://doi.org/10.1007/s10343-024-01054-z,2024,10.1007/s10343-024-01054-z
50,1572-9044,10.1007/s10444-024-10197-6,article,103,An electrical engineering perspective on naturality in computational physics,"P. Robert Kotiuga, Valtteri Lahtinen",5,https://doi.org/10.1007/s10444-024-10197-6,2024,10.1007/s10444-024-10197-6
39,1573-7454,10.1007/s10458-025-09692-x,article,11,An introduction to computational argumentation research from a human argumentation perspective,"Ramon Ruiz-Dolz, Stella Heras, Ana García-Fornes",1,https://doi.org/10.1007/s10458-025-09692-x,2025,10.1007/s10458-025-09692-x
55,1573-7462,10.1007/s10462-021-10056-6,article,2065--2102,Measuring associational thinking through word embeddings,Carlos Periñán-Pascual,3,https://doi.org/10.1007/s10462-021-10056-6,2022,10.1007/s10462-021-10056-6
55,1573-7462,10.1007/s10462-022-10166-9,article,5917--5952,Computational knowledge vision: paradigmatic knowledge based prescriptive learning and reasoning for perception and vision,"Wenbo Zheng, Lan Yan, Chao Gou, Fei-Yue Wang",8,https://doi.org/10.1007/s10462-022-10166-9,2022,10.1007/s10462-022-10166-9
57,1573-7462,10.1007/s10462-024-10704-7,article,106,Artificial intelligence strategies for simulating the integrated energy systems,"M. Talaat, M. Tayseer, M. A. Farahat, Dongran Song",4,https://doi.org/10.1007/s10462-024-10704-7,2024,10.1007/s10462-024-10704-7
57,1573-7462,10.1007/s10462-024-10744-z,article,113,"Business chatbots with deep learning technologies: state-of-the-art, taxonomies, and future research directions","Yongxiang Zhang, Raymond Y. K. Lau, Jingjun David Xu, Yanghui Rao, Yuefeng Li",5,https://doi.org/10.1007/s10462-024-10744-z,2024,10.1007/s10462-024-10744-z
57,1573-7462,10.1007/s10462-024-10861-9,article,255,Parallel intelligence in three decades: a historical review and future perspective on ACP and cyber-physical-social systems,"Xingxia Wang, Jing Yang, Yuhang Liu, Yutong Wang, Fei-Yue Wang, Mengzhen Kang, Yonglin Tian, Imre Rudas, Lingxi Li, Maria Pia Fanti, Bassam Alrifaee, Muhammet Deveci, Deepak Mishra, Muhammad Khurram Khan, Long Chen, Philippe De Reffye",9,https://doi.org/10.1007/s10462-024-10861-9,2024,10.1007/s10462-024-10861-9
58,1573-7462,10.1007/s10462-024-11083-9,article,95,Intelligent strategy for severity scoring of skin diseases based on clinical decision-making thinking with lesion-aware transformer,"Kai Huang, Kai Sun, Jiayi Li, Zhe Wu, Xian Wu, Yuping Duan, Xiang Chen, Shuang Zhao",4,https://doi.org/10.1007/s10462-024-11083-9,2025,10.1007/s10462-024-11083-9
58,1573-7462,10.1007/s10462-025-11136-7,article,134,Quantum deep learning in neuroinformatics: a systematic review,"Nabil Anan Orka, Md. Abdul Awal, Pietro Liò, Ganna Pogrebna, Allen G. Ross, Mohammad Ali Moni",5,https://doi.org/10.1007/s10462-025-11136-7,2025,10.1007/s10462-025-11136-7
306,1572-9338,10.1007/s10479-021-04306-7,article,1--6,"Preface: Regression methods based on OR techniques and computational aspects in management, economics and finance","Ramzi Benkraiem, Constantin Zopounidis",1,https://doi.org/10.1007/s10479-021-04306-7,2021,10.1007/s10479-021-04306-7
,1572-9338,10.1007/s10479-024-05949-y,article,,A joint sustainable order-packing vehicle routing optimisation for the cold chain e-fulfilment,"Y. P. Tsang, Haoran Ma, K. H. Tan, C. K. M. Lee",,https://doi.org/10.1007/s10479-024-05949-y,2024,10.1007/s10479-024-05949-y
51,1573-7497,10.1007/s10489-021-02673-z,article,6585--6608,A comprehensive model and computational methods to improve Situation Awareness in Intelligence scenarios,"Angelo Gaeta, Vincenzo Loia, Francesco Orciuoli",9,https://doi.org/10.1007/s10489-021-02673-z,2021,10.1007/s10489-021-02673-z
53,1573-7497,10.1007/s10489-023-04748-5,article,23883--23904,Comparing computational algorithms for team formation in the classroom: a classroom experience,"Victor Sanchez-Anguix, Juan M. Alberola, Elena Del Val, Alberto Palomares, Maria Dolores Teruel",20,https://doi.org/10.1007/s10489-023-04748-5,2023,10.1007/s10489-023-04748-5
31,1572-8382,10.1007/s10506-022-09334-7,article,653--702,Knowledge mining and social dangerousness assessment in criminal justice: metaheuristic integration of machine learning and graph-based inference,"Nicola Lettieri, Alfonso Guarino, Delfina Malandrino, Rocco Zaccagnino",4,https://doi.org/10.1007/s10506-022-09334-7,2023,10.1007/s10506-022-09334-7
21,1573-1456,10.1007/s10518-022-01557-y,article,633--661,"Systems thinking approach to community buildings resilience considering utility networks, interactions, and access to essential facilities","Ghazanfar Ali Anwar, You Dong, Min Ouyang",1,https://doi.org/10.1007/s10518-022-01557-y,2023,10.1007/s10518-022-01557-y
37,1572-8404,10.1007/s10539-022-09885-8,article,58,Darwin and the golden rule: how to distinguish differences of degree from differences of kind using mechanisms,Paul Thagard,6,https://doi.org/10.1007/s10539-022-09885-8,2022,10.1007/s10539-022-09885-8
39,1572-8404,10.1007/s10539-024-09943-3,article,6,Making sense of ‘genetic programs’: biomolecular Post–Newell production systems,Mihnea Capraru,2,https://doi.org/10.1007/s10539-024-09943-3,2024,10.1007/s10539-024-09943-3
27,1573-7543,10.1007/s10586-024-04641-x,article,13455--13469,Enhancing security and scalability by AI/ML workload optimization in the cloud,"Sabina Priyadarshini, Tukaram Namdev Sawant, Gitanjali Bhimrao Yadav, J. Premalatha, Sanjay R. Pawar",10,https://doi.org/10.1007/s10586-024-04641-x,2024,10.1007/s10586-024-04641-x
28,1573-7543,10.1007/s10586-024-04828-2,article,179,Reinforcement learning-based task scheduling for heterogeneous computing in end-edge-cloud environment,"Wangbo Shen, Weiwei Lin, Wentai Wu, Haijie Wu, Keqin Li",3,https://doi.org/10.1007/s10586-024-04828-2,2025,10.1007/s10586-024-04828-2
29,1572-9346,10.1007/s10588-021-09354-9,article,300--335,Decision making under high complexity: a computational model for the science of muddling through,"Sai Yayavaram, Sasanka Sekhar Chanda",2,https://doi.org/10.1007/s10588-021-09354-9,2023,10.1007/s10588-021-09354-9
30,1572-9869,10.1007/s10610-022-09513-x,article,21--38,"Pathways to School Shooting Subculture: Re-thinking Theory Across Strain, Imitation, and Digital Mediation","Jonatan Mizrahi-Werner, Martine Bech Diederichsen, Benjamin Schou Ilsøe, Jakob Demant, Atte Oksanen",1,https://doi.org/10.1007/s10610-022-09513-x,2024,10.1007/s10610-022-09513-x
38,1573-756X,10.1007/s10618-023-00920-0,article,2975--2996,Reflective-net: learning from explanations,"Johannes Schneider, Michalis Vlachos",5,https://doi.org/10.1007/s10618-023-00920-0,2024,10.1007/s10618-023-00920-0
24,1573-7608,10.1007/s10639-018-9801-8,article,929--951,A valid and reliable tool for examining computational thinking skills,Mustafa Yağcı,1,https://doi.org/10.1007/s10639-018-9801-8,2019,10.1007/s10639-018-9801-8
24,1573-7608,10.1007/s10639-018-9849-5,article,1615--1629,STEM teaching intention and computational thinking skills of pre-service teachers,"Mustafa Serkan Günbatar, Hasan Bakırcı",2,https://doi.org/10.1007/s10639-018-9849-5,2019,10.1007/s10639-018-9849-5
24,1573-7608,10.1007/s10639-019-09919-x,article,2629--2652,Computational thinking within the context of professional life: Change in CT skill from the viewpoint of teachers,Mustafa Serkan Günbatar,5,https://doi.org/10.1007/s10639-019-09919-x,2019,10.1007/s10639-019-09919-x
25,1573-7608,10.1007/s10639-019-10048-8,article,2175--2200,Teachers’ narrative of learning to program in a professional development effort and the relation to the rhetoric of computational thinking,"Natalia Monjelat, Annika Lantz-Andersson",3,https://doi.org/10.1007/s10639-019-10048-8,2020,10.1007/s10639-019-10048-8
25,1573-7608,10.1007/s10639-020-10213-4,article,5087--5101,Teaching computational thinking in Mexico: A case study in a public elementary school,"José Mario Ríos Félix, Ramón Zatarain Cabada, María Lucía Barrón Estrada",6,https://doi.org/10.1007/s10639-020-10213-4,2020,10.1007/s10639-020-10213-4
25,1573-7608,10.1007/s10639-020-10231-2,article,5357--5377,Designing technology entrepreneurship education using computational thinking,"Younah Kang, Keeheon Lee",6,https://doi.org/10.1007/s10639-020-10231-2,2020,10.1007/s10639-020-10231-2
26,1573-7608,10.1007/s10639-020-10268-3,article,565--583,The effect of computational thinking skill program design developed according to interest driven creator theory on prospective teachers,"Ozlem Uzumcu, Erdal Bay",1,https://doi.org/10.1007/s10639-020-10268-3,2021,10.1007/s10639-020-10268-3
26,1573-7608,10.1007/s10639-021-10487-2,article,4663--4689,Measuring in-service teacher self-efficacy for teaching computational thinking: development and validation of the T-STEM CT,"Danielle Cadieux Boulden, Arif Rachmatullah, Kevin M. Oliver, Eric Wiebe",4,https://doi.org/10.1007/s10639-021-10487-2,2021,10.1007/s10639-021-10487-2
26,1573-7608,10.1007/s10639-021-10515-1,article,5815--5849,Co-design of mini games for learning computational thinking in an online environment,"Friday Joseph Agbo, Solomon Sunday Oyelere, Jarkko Suhonen, Teemu H. Laine",5,https://doi.org/10.1007/s10639-021-10515-1,2021,10.1007/s10639-021-10515-1
26,1573-7608,10.1007/s10639-021-10578-0,article,6479--6498,The Impact of SRA-Programming on Computational Thinking in a Visual Oriented Programming Environment,"Nardie L. J. A. Fanchamps, Lou Slangen, Marcus Specht, Paul Hennissen",5,https://doi.org/10.1007/s10639-021-10578-0,2021,10.1007/s10639-021-10578-0
26,1573-7608,10.1007/s10639-021-10617-w,article,6499--6529,Trends and development in research on computational thinking,Mehmet Tekdal,5,https://doi.org/10.1007/s10639-021-10617-w,2021,10.1007/s10639-021-10617-w
26,1573-7608,10.1007/s10639-021-10626-9,article,6383--6399,Demystifying computational thinking for teacher candidates: A case study on Turkish secondary school pre-service teachers,"Armağan Ateşkan, Deniz Ortactepe Hart",5,https://doi.org/10.1007/s10639-021-10626-9,2021,10.1007/s10639-021-10626-9
27,1573-7608,10.1007/s10639-021-10636-7,article,1237--1260,Patrony: A mobile application for pattern recognition learning,"María Lucia Barrón-Estrada, Ramón Zatarain-Cabada, Jorge Abraham Romero-Polo, Julieta Noguez Monroy",1,https://doi.org/10.1007/s10639-021-10636-7,2022,10.1007/s10639-021-10636-7
27,1573-7608,10.1007/s10639-021-10667-0,article,2099--2135,Computational thinking in computer science teacher training courses in Brazil: A survey and a research roadmap,"André Menolli, João Coelho Neto",2,https://doi.org/10.1007/s10639-021-10667-0,2022,10.1007/s10639-021-10667-0
27,1573-7608,10.1007/s10639-021-10700-2,article,2059--2082,A systematic literature review regarding computational thinking and programming in early childhood education,Kaan Bati,2,https://doi.org/10.1007/s10639-021-10700-2,2022,10.1007/s10639-021-10700-2
27,1573-7608,10.1007/s10639-021-10708-8,article,2955--2975,Errors of programming and ownership of the robot concept made by trainee kindergarten teachers during an induction training,"María José Seckel, Claudia Vásquez, Marjorie Samuel, Adriana Breda",3,https://doi.org/10.1007/s10639-021-10708-8,2022,10.1007/s10639-021-10708-8
27,1573-7608,10.1007/s10639-021-10711-z,article,2807--2834,Towards an inclusive digital literacy: An experimental intervention study in a rural area of Brazil,"Viviane Brito Nogueira, Diego Gomes Teixeira, Ivan Alisson Cavalcante Nunes Lima, Marcus Vinícius Chaves Moreira, Bárbara Sthéphane Caixeta Oliveira, Iago Matheus Bezerra Pedrosa, Jose Wilton Queiroz, Selma Maria Bezerra Jeronimo",2,https://doi.org/10.1007/s10639-021-10711-z,2022,10.1007/s10639-021-10711-z
27,1573-7608,10.1007/s10639-021-10724-8,article,2585--2612,Development and evaluation of granular simulation for integrating computational thinking into computational physics courses,"Dewi Muliyati, Dadan Sumardani, Siswoyo Siswoyo, Fauzi Bakri, Handjoko Permana, Erfan Handoko, Ni Larasati Kartika Sari",2,https://doi.org/10.1007/s10639-021-10724-8,2022,10.1007/s10639-021-10724-8
27,1573-7608,10.1007/s10639-021-10765-z,article,3777--3812,"Computational thinking learning experiences, outcomes, and research in preschool settings: a scoping review of literature","Kate I. McCormick, Jacob A. Hall",3,https://doi.org/10.1007/s10639-021-10765-z,2022,10.1007/s10639-021-10765-z
27,1573-7608,10.1007/s10639-021-10787-7,article,4301--4320,Development and testing of the Draw-a-Programmer test (DAPT) to explore elementary preservice teachers’ conceptions of computational thinking,"Jeffrey Radloff, Jacob A. Hall",3,https://doi.org/10.1007/s10639-021-10787-7,2022,10.1007/s10639-021-10787-7
27,1573-7608,10.1007/s10639-021-10800-z,article,5075--5102,How to improve the design of experimental studies in computing education: Evidence from the international assessments,"Mustafa Yildiz, Ran Shi, Mehmet Kara",4,https://doi.org/10.1007/s10639-021-10800-z,2022,10.1007/s10639-021-10800-z
27,1573-7608,10.1007/s10639-021-10870-z,article,8533--8560,ScratchThAI: A conversation-based learning support framework for computational thinking development,"Kantinee Katchapakirin, Chutiporn Anutariya, Thepchai Supnithi",6,https://doi.org/10.1007/s10639-021-10870-z,2022,10.1007/s10639-021-10870-z
27,1573-7608,10.1007/s10639-022-10915-x,article,7993--8013,The effectiveness of unplugged activities and programming exercises in computational thinking education: A Meta-analysis,"Feng Li, Xi Wang, Xiaona He, Liang Cheng, Yiyu Wang",6,https://doi.org/10.1007/s10639-022-10915-x,2022,10.1007/s10639-022-10915-x
27,1573-7608,10.1007/s10639-022-10921-z,article,8289--8310,Relationships between computational thinking and the quality of computer programs,"Kay-Dennis Boom, Matt Bower, Jens Siemon, Amaël Arguel",6,https://doi.org/10.1007/s10639-022-10921-z,2022,10.1007/s10639-022-10921-z
27,1573-7608,10.1007/s10639-022-10991-z,article,10585--10609,A bibliometric analysis of the trends and research topics of empirical research on TPACK,"Di Zou, Xinyi Huang, Lucas Kohnke, Xieling Chen, Gary Cheng, Haoran Xie",8,https://doi.org/10.1007/s10639-022-10991-z,2022,10.1007/s10639-022-10991-z
