Type of reference,First Author,Secondary Author,Tertiary Author,Subsidiary Author,Abstract,Author Address,Accession Number,Author,Location in Archives,This field maps to T2 for all reference types except for Whole Book and Unpublished Work references.,Custom 1,Custom 2,Custom 3,Custom 4,Custom 5,Custom 6,Custom 7,Custom 8,Caption,Call Number,This field can contain alphanumeric characters.,Title of unpublished reference,Place Published,Date,Name of Database,DOI,Database Provider,Editor,End Page,Edition,Reference ID,Issue number,Periodical name: user abbreviation 1.,Alternate Title,Periodical name: standard abbreviation.,Journal name,Keywords,Link to PDF.,Link to Full-text.,Related Records.,Image(s).,Language,Label,Website Link,Number,Miscellaneous 2.,Type of Work,Notes,Abstract.,Number of Volumes,Original Publication,Publisher,Publishing Place,Publication year (YYYY/MM/DD),Reviewed Item,Research Notes,Reprint Edition,Section,ISBN/ISSN,Start Page,Short Title,Primary Title,Secondary Title,Tertiary Title,Translated Author,Title,Translated Title,User definable 1.,User definable 2.,User definable 3.,User definable 4.,User definable 5.,URL,Volume number,Published Standard number,Primary Date,Access Date,End of Reference,""
JOUR ,,,,,"Could translation be fully automated? We must first acknowledge the complexity, ambiguity, and diversity of natural languages. These aspects of natural languages, when combined with a particular dilemma known as the computational dilemma, appear to imply that the machine translator faces certain obstacles that a human translator has already managed to overcome. At the same time, science has not yet solved the problem of how human brains process natural languages and how human beings come to acquire natural language understanding. We will then distinguish between the task of translation and the responsibility of the translator. Thereafter, we will conduct a survey of the methods of machine translation (viz. RBMT, SMT, NMT, foundation models or large language models). These methods will then be critically evaluated both in general and relative to Bar-Hillel’s hypothesis about the impossibility of fully automatic, high-quality machine translation (Fahqmt). Some concluding remarks will be made about the scope, prospects, and limits of machine translation. ",,,"Chen, Melvin ",,,,,,,,,,,,,,,,2024/10/01 ,,10.1007/s00146-023-01681-6 ,,,2319 ,,Chen2024 ,5 ,,,,AI & SOCIETY ,,,,,,,,,,,,,,,,,,2024 ,,,,,1435-5655 ,2307 ,,,,,,"Trust, understanding, and machine translation: the task of translation and the responsibility of the translator ",,,,,,,https://doi.org/10.1007/s00146-023-01681-6 ,39 ,,,,   ,
JOUR ,,,,,"The foundations of AI design discourse are worth analyzing. Here, attention is paid to the nature of theory languages used in designing new AI technologies because the limits of these languages can clarify some fundamental questions in the development of AI. We discuss three types of theory language used in designing AI products: formal, computational, and natural. Formal languages, such as mathematics, logic, and programming languages, have fixed meanings and no actual-world semantics. They are context- and practically content-free. Computational languages use terms referring to the actual world, i.e., to entities, events, and thoughts. Thus, computational languages have actual-world references and semantics. They are thus no longer context- or content-free. However, computational languages always have fixed meanings and, for this reason, limited domains of reference. Finally, unlike formal and computational languages, natural languages are creative, dynamic, and productive. Consequently, they can refer to an unlimited number of objects and their attributes in an unlimited number of domains. The differences between the three theory languages enable us to reflect on the traditional problems of strong and weak AI. ",,,"Karvonen, Antero ",,,,,,,,,,,,,,,,2024/10/01 ,,10.1007/s00146-023-01716-y ,,,2258 ,,Saariluoma2024 ,5 ,,,,AI & SOCIETY ,,,,,,,,,,,,,,,,,,2024 ,,,,,1435-5655 ,2249 ,,,,,,Theory languages in designing artificial intelligence ,,,,,,,https://doi.org/10.1007/s00146-023-01716-y ,39 ,,,,   ,
JOUR ,,,,,"The article reflects on where AI is headed and the world along with it, considering trust, ethics and safety. Implicit in artificial thinking and doomsday appraisals is the engineered divorce from reality of sublime human embodiment. Jeffrey White, Dietrich Brandt, Jan Soeffner, and Larry Stapleton, four scholars associated with AI & Society, address these issues, and more, in the following exchange. ",,,"Stapleton, Larry ",,,,,,,,,,,,,,,,2023/12/01 ,,10.1007/s00146-023-01810-1 ,,,2124 ,,White2023 ,6 ,,,,AI & SOCIETY ,,,,,,,,,,,,,,,,,,2023 ,,,,,1435-5655 ,2119 ,,,,,,"Artificial thinking and doomsday projections: a discourse on trust, ethics and safety ",,,,,,,https://doi.org/10.1007/s00146-023-01810-1 ,38 ,,,,   ,
JOUR ,,,,,"Scholarship on embedding values in AI is growing. In what follows, we distinguish two concepts of AI and argue that neither is amenable to values being ‘embedded’. If we think of AI as computational artifacts, then values and AI cannot be added together because they are ontologically distinct. If we think of AI as sociotechnical systems, then components of values and AI are in the same ontologic category—they are both social. However, even here thinking about the relationship as one of ‘embedding’ is a mischaracterization. The relationship between values and AI is best understood as a dimension of the relationship between technology and society, a relationship that can be theorized in multiple ways. The literature in this area is consistent in showing that technology and society are co-productive. Within the co-production framework, the relationship between values and AI is shown to be generative of new meaning. This stands in stark contrast to the framework of ‘embedding’ values which frames values as fixed things that can be inserted into technological artifacts. ",,,"Verdicchio, Mario ",,,,,,,,,,,,,,,,2025/01/01 ,,10.1007/s00146-023-01852-5 ,,,76 ,,Johnson2025 ,1 ,,,,AI & SOCIETY ,,,,,,,,,,,,,,,,,,2025 ,,,,,1435-5655 ,67 ,,,,,,The sociotechnical entanglement of AI and values ,,,,,,,https://doi.org/10.1007/s00146-023-01852-5 ,40 ,,,,   ,
JOUR ,,,,,"The paper adopts an inter-theoretical socio-cultural and -material perspective on the relationship between human + machine learning to propose a new way to investigate the human + machine assistive assemblages emerging in professional work (e.g. medicine, architecture, design and engineering). Its starting point is Hutchins’s (1995a) concept of ‘distributed cognition’ and his argument that his concept of ‘cultural ecosystems’ constitutes a unit of analysis to investigate collective human + machine working and learning (Hutchins, Philos Psychol 27:39–49, 2013). It argues that: (i) the former offers a way to reveal the cultural constitution of and enactment of human + machine cognition and, in the process, the limitations of the computational and connectionist assumptions about learning that underpin, respectively, good old-fashioned AI and deep learning; and (2) the latter offers a way to identify, when amplified with insights from Socio-Materialism and Cultural-Historical Activity Theory, how ML is further rearranging and reorganising the distributed basis of cognition in assistive assemblages. The paper concludes by outlining a set of conjectures researchers that could use to guide their investigations into the ongoing design and deployment of HL + ML assemblages and challenges associated with the interaction between HL + ML. ",,,"Popov, Jelena ",,,,,,,,,,,,,,,,2024/03/17 ,,10.1007/s00146-024-01891-6 ,,,,,Guile2024 ,,,,,AI & SOCIETY ,,,,,,,,,,,,,,,,,,2024 ,,,,,1435-5655 ,,,,,,,Machine learning and human learning: a socio-cultural and -material perspective on their relationship and the implications for researching working and learning ,,,,,,,https://doi.org/10.1007/s00146-024-01891-6 ,,,,,   ,
JOUR ,,,,,"This study challenges the conventional boundaries of philosophy by asserting that organizations can function as legitimate subjects within philosophical discourse. Western philosophy, epitomized by Descartes, has long assumed that individual human beings are the fundamental units of thought and moral agency. However, in a significant oversight, this belief overlooks the idea that organizations can think independently, leading to both virtuous and malevolent results. Epistemology lacks a clear prioritization of morally sound knowledge over potentially harmful knowledge. The advent of artificial intelligence (AI) has also transformed the landscape of cognition from a primarily individual human endeavor into a joint undertaking where humans collaborate with AI entities in collective thinking and decision-making. Nevertheless, AI lacks the innate ability to discern between ethical and unethical actions. This symbiosis creates organizations as fundamental philosophical subjects, marking a significant shift in philosophical emphasis where the organization takes the center stage. Accordingly, within this emerging field, we advance four propositions as the core subjects of organization philosophy: organizations can think, organizations can create knowledge, AI can be part of an organization, and humans in the organization control moral discipline. These propositions guide the ethical coexistence of AI and human agents in organizations, emphasizing the importance of ethical deliberation in knowledge use. Moreover, the malicious use of profound knowledge hinders human progress, as illustrated in this study by an ethical examination of military institutions within organization philosophy. ",,,"Horaguchi, Haruo H. ",,,,,,,,,,,,,,,,2024/06/03 ,,10.1007/s00146-024-01980-6 ,,,,,Horaguchi2024 ,,,,,AI & SOCIETY ,,,,,,,,,,,,,,,,,,2024 ,,,,,1435-5655 ,,,,,,,Organization philosophy: a study of organizational goodness in the age of human and artificial intelligence collaboration ,,,,,,,https://doi.org/10.1007/s00146-024-01980-6 ,,,,,   ,
JOUR ,,,,,"In 2023, artificial intelligence was announced as a “game changer”—marking a rapid revolution in thinking technologies. A global debate began to emerge. By conducting a discourse analysis of 2023 US congressional testimonies and AI manifestos, we aim to map the emergence of debates over the start-up of a global governance controversy. Qualitative topical identification and semantic network analysis are deployed to identify the primary stakeholders and their contesting arguments. The resulting polylog exhibits sharp divisions among multiple, distinct pro-tech and pro-rights groups. Pro-tech stakeholders emphasize innovation and economic benefits, while pro-rights groups prioritize human rights and safety. Our linguistic and semantic network analyses provide micro-level insights into the polylogue entanglements of ethics and governance. The analysis of US AI advocacy discourse furnishes a baseline of contestation from which the ongoing development of the complex arguments of AI policies can be identified and evaluated. ",,,"Zhang, Jinxi ",,,,,,,,,,,,,,,,2024/08/14 ,,10.1007/s00146-024-02027-6 ,,,,,Pan2024 ,,,,,AI & SOCIETY ,,,,,,,,,,,,,,,,,,2024 ,,,,,1435-5655 ,,,,,,,“Game changer”: the AI advocacy discourse of 2023 in the US ,,,,,,,https://doi.org/10.1007/s00146-024-02027-6 ,,,,,   ,
JOUR ,,,,,"In 1980, the 85 year-old mystic and thinker Jiddu Krishnamurti (1895–1986), having been introduced to the subject of artificial intelligence by computer scientists, became engrossed in the challenge posed to the human mind by the prospect of the machine taking over its processes and faculties. What makes Krishnamurti’s angle worthy of separate discussion is that it accentuates not social and cultural ramifications, but a mostly overlooked potential philosophical and psychological crisis. As a thinker and mystic whose life work entirely centred on the transformation of the human mind, Krishnamurti worried that an insufficiently cultivated mind that had been employed merely for material and mechanical purposes would be perfectly imitable and thus replaceable by computers and other machines. Thus, our main concern should not be machines attaining humanlike minds, but people having machinelike minds. I argue that the particular dimension of the AI–mind encounter elucidated by Krishnamurti can significantly broaden the field of the philosophy of artificial intelligence. Firstly, Krishnamurti’s investigation further problematizes the field by handing us the question: ‘If the machine can take over everything man can do, and do it still better than us, then what is a human being?’ Accordingly, he demonstrates, deploying phenomenological observations, various ways in which human thought is worryingly computational and machinelike. Secondly, since Krishnamurti’s approach is transformative and arguably soteriological, he offers intriguing ways in which we could consider the inherently nonmechanical yet unactualized faculties of the mind. Since Krishnamurti’s observations involve an insight into the present condition of the mind and a potential active response to this condition, they have some pertinence to both the primary discourse in the field – the interrelations between artificial intelligence and aspects of human cognition – and the emerging discussion of meaningfulness in life in the face of AI. ",,,"Tubali, Shai ",,,,,,,,,,,,,,,,2024/09/05 ,,10.1007/s00146-024-02057-0 ,,,,,Tubali2024 ,,,,,AI & SOCIETY ,,,,,,,,,,,,,,,,,,2024 ,,,,,1435-5655 ,,,,,,,Will humans ever become conscious? Jiddu Krishnamurti’s thought about AI as a fresh perspective on current debates ,,,,,,,https://doi.org/10.1007/s00146-024-02057-0 ,,,,,   ,
JOUR ,,,,,"In this paper, I reflect on the puzzle that machine learning presents to social theory to develop an account of its distinct impact on social reality.   I start by presenting how machine learning has presented a challenge to social theory as a research subject comprising both familiar and alien characteristics (1.). Taking this as an occasion for theoretical inquiry, I then propose a conceptual framework to investigate how algorithmic models of social phenomena relate to social reality and what their stochastic mode of operation entails in terms of their sociality (2.). Analyzed through a theoretical lens that relies on central tenets of sociological systems theory, I find that machine learning implies a distinct epistemic transformation, based on how algorithmic modeling techniques process meaning as represented in data embedded in vector space. Building on this characterization, I introduce my conceptualization of stochastic technology as distinct from mechanistic technologies that rely on causal fixation (3.). Based on this understanding, I suggest that real-world applications of machine learning are often characterized by a constitutive tension between the stochastic properties of their outputs and the ways in which they are put to use in practice. Focussing on the large language models LaMDA and ChatGPT, I examine the epistemological implications of LLMs to account for the confusion of correlation and causality as the root of this tension. Next, I illustrate my theoretical conception by way of discussing an essay on image models by German media artist Hito Steyerl (4.).  Following a critical reflection on Steyerl's characterization of Stable Diffusion as a “white box ”, I finally propose to conceive ofmachine learning-based technologies as stochastic contingency machines that transform social indeterminacy into contingent observations of social phenomena (5.) In this perspective, machine learning constitutes an epistemic technology that operates on meaning as extractable from data by means of algorithmic data modeling techniques to produce stochastic accounts of social reality. ",,,"Groß, Richard ",,,,,,,,,,,,,,,,2024/09/26 ,,10.1007/s00146-024-02079-8 ,,,,,Groß2024 ,,,,,AI & SOCIETY ,,,,,,,,,,,,,,,,,,2024 ,,,,,1435-5655 ,,,,,,,Stochastic contingency machines feeding on meaning: on the computational determination of social reality in machine learning ,,,,,,,https://doi.org/10.1007/s00146-024-02079-8 ,,,,,   ,
JOUR ,,,,,"Released mid-November 2022, Galactica is a set of six large language models (LLMs) of different sizes (from 125 M to 120B parameters) designed by Meta AI to achieve the ultimate ambition of “a single neural network for powering scientific tasks”, according to its accompanying whitepaper. It aims to carry out knowledge-intensive tasks, such as publication summarization, information ordering and protein annotation. However, just a few days after the release, Meta had to pull back the demo due to the strong hallucinatory tendencies or underwhelming performances of the model. This article aims to study, through a critical threefold argument, the potential impacts of LLMs once deployed in the scientific value chain. Our first argument is a technical one. By examining the technicity of Galactica, it is possible to explain the descripancies between its promotional corporate discourse and abysmal outputs. Second, by going back to debates in both computer science and computational philosophy on the automation of abduction, we argue from the epistemological front that LLMs indeed cannot produce strong abductions and, therefore, claims about the automation of hypothesis generation remains chambering. Finally, our third argument is a sociological one. By conceptualizing the scientific field through Nancy Katherine Hayles’ cognitive assemblage theory, we aim to outline the potential steering of science by LLMs, mainly through information ordering. The core of our argument rests on the assertion that excessive control on information risks contravening a certain serendipitous aspect inherent to scientific discoveries. ",,,"Goujon, Valentin ",,,,,,,,,,,,,,,,2024/10/01 ,,10.1007/s00146-024-02088-7 ,,,,,Chartier-Edwards2024 ,,,,,AI & SOCIETY ,,,,,,,,,,,,,,,,,,2024 ,,,,,1435-5655 ,,,,,,,Galactica’s dis-assemblage: Meta’s beta and the omega of post-human science ,,,,,,,https://doi.org/10.1007/s00146-024-02088-7 ,,,,,   ,
JOUR ,,,,,"The proliferation of AI systems across all domains of life as well as the complexification and opacity of algorithmic techniques, epitomised by the bourgeoning field of Deep Learning (DL), call for new methods in the Humanities for reflecting on the techno-human relation in a way that places the technical operation at its core. Grounded on the work of the philosopher of technology Gilbert Simondon, this paper puts forward individuation theory as a valuable approach to reflect on contemporary information technologies, offering an analysis of the functioning of deep neural networks (DNNs), a type of data-driven computational models at the core of major breakthroughs in AI. The purpose of this article is threefold: (1) to demonstrate how a joint reading of Simondon’s mechanology and individuation theory, foregrounded in the Simondonian concept of information, can cast new light on contemporary algorithmic techniques by considering their situated emergence as opposed to technical lineage; (2) to suspend a predictive framing of AI systems, particularly DL techniques, so as to probe into their technical operation, accounting for the data-driven individuation of these models and the integration of potentials as functionality; and finally, (3) to argue that individuation theory might in fact de-individuate AI, in the sense of disassembling the already-there, the constituted, paving the way for questioning the potentialities for data and their algorithmic relationality to articulate the unfolding of everyday life. ",,,"Aires, Susana ",,,,,,,,,,,,,,,,2024/12/12 ,,10.1007/s00146-024-02152-2 ,,,,,Aires2024 ,,,,,AI & SOCIETY ,,,,,,,,,,,,,,,,,,2024 ,,,,,1435-5655 ,,,,,,,On the individuation of complex computational models: Gilbert Simondon and the technicity of AI ,,,,,,,https://doi.org/10.1007/s00146-024-02152-2 ,,,,,   ,
